id,carry_big_objects_tables_chairs_etc__in_the_direction_of_the_arrow,carry_big_objects_tables_chairs_etc__in_the_direction_of_the_arrow:variance,carry_big_objects_tables_chairs_etc_within_the_circle,carry_big_objects_tables_chairs_etc_within_the_circle:variance,carry_cold_food_in_the_direction_of_the_arrow,carry_cold_food_in_the_direction_of_the_arrow:variance,carry_cold_food_within_the_circle,carry_cold_food_within_the_circle:variance,carry_drinks_in_the_direction_of_the_arrow,carry_drinks_in_the_direction_of_the_arrow:variance,carry_drinks_within_the_circle,carry_drinks_within_the_circle:variance,carry_small_objects_plates_toys_etc__in_the_direction_of_the_arrow,carry_small_objects_plates_toys_etc__in_the_direction_of_the_arrow:variance,carry_small_objects_plates_toys_etc_within_the_circle,carry_small_objects_plates_toys_etc_within_the_circle:variance,carry_warm_food_in_the_direction_of_the_arrow,carry_warm_food_in_the_direction_of_the_arrow:variance,carry_warm_food_within_the_circle,carry_warm_food_within_the_circle:variance,cleaning_picking_up_stuff_within_the_circle,cleaning_picking_up_stuff_within_the_circle:variance,mopping_the_floor_in_the_direction_of_the_arrow,mopping_the_floor_in_the_direction_of_the_arrow:variance,mopping_the_floor_within_the_circle,mopping_the_floor_within_the_circle:variance,starting_conversation_in_the_direction_of_the_arrow,starting_conversation_in_the_direction_of_the_arrow:variance,vacuum_cleaning_in_the_direction_of_the_arrow,vacuum_cleaning_in_the_direction_of_the_arrow:variance,vacuum_cleaning_within_the_circle,vacuum_cleaning_within_the_circle:variance,2nd_closest_human_facing_robot,3d_closest_human_facing_robot,closest_human_facing_robot,direction_from_closest_human_to_robot,direction_to_2nd_closest_human,direction_to_3rd_closest_human,direction_to_closest_human,distance_to_2nd_closest_human,distance_to_3rd_closest_human,distance_to_closest_animal,distance_to_closest_child,distance_to_closest_human,distance_to_group,group_radius,music_playing,number_of_agents_in_scene,number_of_animals,number_of_children,number_of_people,number_of_people_in_group,number_of_people_sittinglaying_in_sofa,robot_facing_2nd_closest_human,robot_facing_3rd_closest_human,robot_facing_closest_human,robot_facing_group,robot_within_group,robot_work_radius,stamp,using_arrow,using_circle
2633639406,3.27,1.181,0.0,0.0,3.73,1.181,0.0,0.0,3.47,1.204,0.0,0.0,3.4,1.083,0.0,0.0,3.73,1.236,0.0,0.0,0.0,0.0,3.13,1.31,0.0,0.0,3.47,1.147,3.07,1.34,0.0,0.0,0,0,0,141.4374,112.9306,58.320409999999995,90.43741,1.382456,1.524118,50.0,50.0,0.942421,50.0,50.0,0,7,0,0,6,0,0,0,0,0,0,0,0.0,0,1,0
2633639407,3.22,1.227,0.0,0.0,3.11,1.4869999999999999,0.0,0.0,3.06,1.3530000000000002,0.0,0.0,3.11,1.242,0.0,0.0,3.17,1.213,0.0,0.0,0.0,0.0,3.0,1.4909999999999999,0.0,0.0,3.06,1.393,3.0,1.291,0.0,0.0,0,0,0,269.8018,310.6738,312.6696,358.8712,1.404158,2.76687,50.0,3.872036,1.126082,50.0,50.0,0,6,0,2,5,0,0,0,0,1,0,0,0.0,1,1,0
2633639408,3.53,1.5430000000000001,0.0,0.0,3.73,1.389,0.0,0.0,3.4,1.541,0.0,0.0,3.53,1.454,0.0,0.0,3.6,1.4509999999999998,0.0,0.0,0.0,0.0,3.8,1.376,0.0,0.0,3.6,1.665,3.6,1.405,0.0,0.0,0,0,1,354.7702,181.9705,163.423,65.96844,4.9291279999999995,4.9814110000000005,50.0,0.9022657,0.9022657,50.0,50.0,0,5,0,1,4,0,0,0,0,0,0,0,0.0,2,1,0
2633639409,3.58,1.311,0.0,0.0,3.47,1.534,0.0,0.0,3.53,1.272,0.0,0.0,3.58,1.228,0.0,0.0,3.37,1.494,0.0,0.0,0.0,0.0,3.26,1.551,0.0,0.0,3.63,1.306,3.32,1.416,0.0,0.0,0,0,0,155.3968,23.688779999999998,337.4302,350.2453,1.1846079999999999,1.473818,50.0,50.0,0.8568723,1.392087,0.5665207,0,7,0,0,6,5,0,1,1,1,1,0,0.0,3,1,0
2633639410,0.0,0.0,3.47,1.147,0.0,0.0,3.4,1.143,0.0,0.0,3.53,1.258,0.0,0.0,3.47,1.204,0.0,0.0,3.4,1.143,3.53,1.147,0.0,0.0,3.4,1.306,0.0,0.0,0.0,0.0,3.6,1.2,0,1,0,124.7725,145.9841,10.265839999999999,198.1909,0.5935125,4.445046,50.0,50.0,0.555838,50.0,50.0,0,5,0,0,4,0,0,0,1,0,0,0,2.810554,4,0,1
2633639411,0.0,0.0,3.5,1.245,0.0,0.0,3.4,1.4969999999999999,0.0,0.0,3.4,1.281,0.0,0.0,3.45,1.244,0.0,0.0,3.6,1.319,3.55,1.244,0.0,0.0,3.75,1.2990000000000002,0.0,0.0,0.0,0.0,3.75,1.26,0,0,0,72.43293,213.7712,206.2966,42.58545,2.762877,2.9548810000000003,50.0,50.0,1.637168,50.0,50.0,0,7,0,0,6,0,0,0,0,1,0,0,1.877925,5,0,1
2633639412,0.0,0.0,3.73,1.34,0.0,0.0,3.13,1.4080000000000001,0.0,0.0,3.33,1.445,0.0,0.0,3.53,1.31,0.0,0.0,3.2,1.327,3.53,1.36,0.0,0.0,3.73,1.2890000000000001,0.0,0.0,0.0,0.0,3.8,1.222,0,0,0,72.452,1000.0,1000.0,142.8334,50.0,50.0,50.0,50.0,6.21331,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,1.4454040000000001,6,0,1
2633639414,3.14,1.455,0.0,0.0,2.86,1.455,0.0,0.0,2.95,1.429,0.0,0.0,2.91,1.411,0.0,0.0,2.91,1.505,0.0,0.0,0.0,0.0,2.77,1.475,0.0,0.0,3.0,1.595,2.82,1.435,0.0,0.0,0,0,1,323.7622,1000.0,1000.0,71.6586,50.0,50.0,50.0,50.0,2.179848,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,0.0,8,1,0
2633639415,4.33,1.135,0.0,0.0,4.27,1.236,0.0,0.0,4.33,1.135,0.0,0.0,4.4,1.083,0.0,0.0,4.0,1.5919999999999999,0.0,0.0,0.0,0.0,4.33,1.193,0.0,0.0,4.33,1.135,4.33,1.193,0.0,0.0,0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,9,1,0
2633639416,3.4,1.3559999999999999,0.0,0.0,3.4,1.306,0.0,0.0,3.47,1.31,0.0,0.0,3.6,1.306,0.0,0.0,3.4,1.306,0.0,0.0,0.0,0.0,3.47,1.31,0.0,0.0,3.33,1.35,3.47,1.31,0.0,0.0,0,0,0,107.7836,1000.0,1000.0,201.0214,50.0,50.0,50.0,50.0,3.7984739999999997,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,0.0,10,1,0
