Stamp,File Path,Using circle,Using arrow,Number of people,Number of people in group,Group radius,Distance to group,Robot within group?,Robot facing group?,Robot work radius,Distance to closest human,Distance to 2nd closest human,Distance to 3rd closest human,Direction to closest human,Direction to 2nd closest human,Direction to 3rd closest human,Direction from closest human to robot,Robot facing closest human?,Robot facing 2nd closest human?,Robot facing 3rd closest human?,Closest human facing robot?,2nd closest human facing robot?,3d closest human facing robot?,Number of children,Distance to closest child,Number of animals,Distance to closest animal,Number of people sitting/laying in sofa?,Music playing?,Number of agents in scene,PosRot1,PosRot2,PosRot3,PosRot4,PosRot5,PosRot6,PosRot7,PosRot8,PosRot9,PosRot10,PosRot11,PosRotPepper,
150,data/screenshots/150_1_0_5_0_50_50_0_0_1.679717_0.7805883_1.840798_2.21492_174.9413_190.039_284.4183_233.9413_0_0_0_0_0_0_0_50_1_0_7.png,1,0,5,0,50,50,0,0,1.679717,0.7805883,1.840798,2.21492,174.9413,190.039,284.4183,233.9413,0,0,0,0,0,0,0,50,1,2.855697,0,1,7,"(-3.1, -0.9, -3.1) (0.0, 0.5, 0.0, -0.8)","(-2.9, -0.9, -3.6) (0.0, 0.1, 0.0, -1.0)","(-5.9, -0.9, -4.9) (0.0, 0.4, 0.0, 0.9)","(-7.7, -0.9, -2.5) (0.0, 0.3, 0.0, -1.0)","(-5.5, -0.9, -3.8) (0.0, 0.9, 0.0, 0.5)",_,_,_,_,_,"(-2.7, -0.9, -2.4) (0.0, 1.0, 0.0, -0.1)","(-5.5, -0.9, -3.1) (0.0, 0.0, 0.0, 1.0)",
151,data/screenshots/151_0_1_3_0_50_50_0_0_0_0.4938576_1.285768_3.325877_352.1472_108.438_256.125_261.0885_1_0_0_0_1_0_0_50_0_0_4.png,0,1,3,0,50,50,0,0,0,0.4938576,1.285768,3.325877,352.1472,108.438,256.125,261.0885,1,0,0,0,1,0,0,50,0,50,0,0,4,"(-7.2, -0.9, -2.4) (0.0, 0.7, 0.0, 0.7)","(-4.2, -0.9, -0.8) (0.0, 1.0, 0.0, -0.1)","(-8.6, -0.9, -1.6) (0.0, 0.5, 0.0, 0.8)",_,_,_,_,_,_,_,_,"(-7.3, -0.9, -1.9) (0.0, 1.0, 0.0, 0.0)",
152,data/screenshots/152_0_1_4_0_50_50_0_0_0_0.9473286_1.053341_4.260739_317.4153_70.36343_36.86798_267.7946_0_0_1_0_0_0_0_50_0_1_5.png,0,1,4,0,50,50,0,0,0,0.9473286,1.053341,4.260739,317.4153,70.36343,36.86798,267.7946,0,0,1,0,0,0,0,50,0,50,1,0,5,"(-3.1, -0.9, -2.5) (0.0, 0.9, 0.0, 0.5)","(-3.8, -0.9, -4.0) (0.0, 1.0, 0.0, 0.2)","(-8.4, -0.9, -1.3) (0.0, 0.9, 0.0, -0.4)",_,_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)",_,_,_,_,"(-3.0, -0.9, -3.5) (0.0, -0.6, 0.0, 0.8)",
153,data/screenshots/153_1_0_1_0_50_50_0_0_2.47594_4.479825_50_50_5.448273_1000_1000_102.6956_1_0_0_0_0_0_0_50_0_0_2.png,1,0,1,0,50,50,0,0,2.47594,4.479825,50,50,5.448273,1000,1000,102.6956,1,0,0,0,0,0,0,50,0,50,0,0,2,"(-8.4, -0.9, -1.2) (0.0, 0.4, 0.0, 0.9)",_,_,_,_,_,_,_,_,_,_,"(-5.9, -0.9, -4.9) (-0.1, -0.3, 0.0, 0.9)",
154,data/screenshots/154_1_0_2_0_50_50_0_0_2.14182_3.09549_3.916807_50_52.23672_0.5780029_1000_19.93231_0_1_0_1_0_0_0_50_0_0_3.png,1,0,2,0,50,50,0,0,2.14182,3.09549,3.916807,50,52.23672,0.5780029,1000,19.93231,0,1,0,1,0,0,0,50,0,50,0,0,3,"(-7.3, -0.9, -0.7) (0.0, 0.7, 0.0, -0.7)","(-4.2, -0.9, -1.0) (0.0, 1.0, 0.0, 0.0)",_,_,_,_,_,_,_,_,_,"(-5.1, -0.9, -4.0) (0.0, -0.3, 0.0, 1.0)",
155,data/screenshots/155_1_0_4_0_50_50_0_0_1.991134_1.766499_2.418235_3.837013_243.1328_191.6283_160.9816_55.91394_0_0_0_0_0_0_0_50_0_2_5.png,1,0,4,0,50,50,0,0,1.991134,1.766499,2.418235,3.837013,243.1328,191.6283,160.9816,55.91394,0,0,0,0,0,0,0,50,0,50,2,0,5,"(-5.4, -0.9, -4.3) (0.0, 1.0, 0.0, -0.3)","(-4.0, -0.9, -3.9) (0.0, 0.5, 0.0, -0.9)",_,_,_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)","(-5.3, -0.7, -2.1) (0.0, -0.8, 0.0, 0.7)",_,_,_,"(-4.1, -0.9, 0.0) (0.0, 0.2, 0.0, 1.0)",
156,data/screenshots/156_1_0_6_0_50_50_0_0_1.25189_1.321412_1.374676_1.650687_227.6413_315.1041_182.9114_4.201904_0_0_0_1_0_1_0_50_0_2_7.png,1,0,6,0,50,50,0,0,1.25189,1.321412,1.374676,1.650687,227.6413,315.1041,182.9114,4.201904,0,0,0,1,0,1,0,50,0,50,2,0,7,"(-4.9, -0.9, -3.2) (0.0, 0.8, 0.0, -0.6)","(-7.1, -0.9, -1.2) (0.0, 1.0, 0.0, 0.2)","(-4.0, -0.9, -0.4) (0.0, 0.9, 0.0, -0.4)","(-5.8, -0.9, -4.8) (0.0, 0.8, 0.0, 0.6)",_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)","(-5.3, -0.7, -2.1) (0.0, -0.8, 0.0, 0.7)",_,_,_,"(-6.1, -0.9, -3.5) (0.0, 1.0, 0.0, -0.3)",
157,data/screenshots/157_1_0_2_0_50_50_0_0_2.764699_2.366923_2.486822_50_190.3624_231.1402_1000_83.83447_0_0_0_0_0_0_0_50_0_0_3.png,1,0,2,0,50,50,0,0,2.764699,2.366923,2.486822,50,190.3624,231.1402,1000,83.83447,0,0,0,0,0,0,0,50,0,50,0,0,3,"(-5.7, -0.9, -3.1) (0.0, 0.9, 0.0, -0.4)","(-4.8, -0.9, -4.6) (0.0, 0.4, 0.0, -0.9)",_,_,_,_,_,_,_,_,_,"(-3.2, -0.9, -2.8) (-0.1, 0.3, 0.0, 1.0)",
158,data/screenshots/158_1_0_4_0_50_50_0_0_1.457814_0.7381123_3.229892_4.388566_319.802_272.0931_269.2985_262.6365_0_0_0_0_1_0_0_50_0_0_5.png,1,0,4,0,50,50,0,0,1.457814,0.7381123,3.229892,4.388566,319.802,272.0931,269.2985,262.6365,0,0,0,0,1,0,0,50,0,50,0,0,5,"(-4.8, -0.9, -4.5) (0.0, 0.6, 0.0, 0.8)","(-2.7, -0.9, -4.2) (0.0, 0.3, 0.0, -1.0)","(-5.8, -0.9, -3.8) (0.0, 1.0, 0.0, 0.1)","(-8.1, -0.9, -2.3) (0.0, 0.8, 0.0, 0.6)",_,_,_,_,_,_,_,"(-8.1, -0.9, -1.5) (0.0, 0.9, 0.0, -0.4)",
159,data/screenshots/159_1_0_7_0_50_50_0_0_1.021982_1.095308_1.180217_1.694323_36.97084_342.4438_186.9094_234.6073_1_1_0_0_0_0_0_50_0_2_8.png,1,0,7,0,50,50,0,0,1.021982,1.095308,1.180217,1.694323,36.97084,342.4438,186.9094,234.6073,1,1,0,0,0,0,0,50,0,50,2,0,8,"(-2.9, -0.9, -4.0) (0.0, 0.2, 0.0, -1.0)","(-3.0, -0.9, -2.7) (0.0, 0.8, 0.0, -0.6)","(-6.2, -0.9, -4.6) (0.0, 1.0, 0.0, 0.1)","(-5.2, -0.9, -4.9) (0.0, 0.4, 0.0, 0.9)","(-7.5, -0.9, -1.6) (0.0, 0.4, 0.0, -0.9)",_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)","(-5.3, -0.7, -2.1) (0.0, -0.8, 0.0, 0.7)",_,_,_,"(-5.5, -0.9, -3.8) (0.0, 1.0, 0.0, 0.0)",
